NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 7, 19, 24)","(85.503, 0.21, 6.845)","(38, 19.69, 75.69)",70.68,4985,"(177, 193, 155)","(43, 45, 37)"
"(0, 11, 23, 33)","(80.48, 1.719, 6.891)","(30, 23.53, 66.67)",59.92,4724,"(170, 170, 130)","(31, 31, 25)"
"(0, 14, 29, 20)","(84.808, 2.445, 9.332)","(29, 29.21, 79.22)",69.13,4382,"(202, 200, 143)","(43, 43, 31)"
"(0, 12, 22, 17)","(87.007, 2.384, 6.615)","(27, 22.27, 82.75)",74.12,4827,"(211, 201, 164)","(51, 51, 42)"
"(0, 14, 34, 29)","(81.091, 1.341, 11.643)","(34, 34.08, 70.2)",61.18,4108,"(163, 179, 118)","(33, 33, 21)"
"(0, 15, 28, 29)","(81.269, 2.468, 8.702)","(29, 28.89, 70.59)",61.54,4405,"(180, 176, 128)","(34, 34, 25)"
"(0, 13, 25, 19)","(85.784, 2.17, 8.152)","(29, 25.85, 80.39)",71.32,4599,"(205, 203, 152)","(46, 47, 36)"
"(0, 24, 42, 30)","(78.316, 4.942, 12.799)","(26, 42.13, 69.8)",55.62,3674,"(178, 158, 103)","(29, 27, 17)"
"(0, 18, 35, 23)","(82.825, 3.213, 11.32)","(29, 35.2, 76.86)",64.81,4043,"(196, 190, 127)","(38, 38, 25)"
"(0, 26, 48, 30)","(77.323, 4.907, 15.764)","(28, 48.3, 69.02)",53.71,3378,"(176, 163, 91)","(27, 25, 12)"
"(0, 18, 32, 27)","(81.348, 3.616, 9.476)","(26, 32.26, 72.94)",61.71,4197,"(186, 171, 126)","(35, 34, 24)"
"(0, 8, 16, 40)","(78.329, 1.273, 4.328)","(29, 16.34, 60.0)",55.65,5232,"(153, 151, 128)","(26, 26, 24)"
"(0, 19, 34, 24)","(82.178, 3.801, 10.383)","(26, 34.2, 75.69)",63.44,4086,"(193, 178, 127)","(37, 36, 24)"
"(0, 12, 21, 18)","(86.412, 2.916, 5.743)","(23, 21.15, 81.57)",72.75,4905,"(208, 191, 164)","(49, 48, 41)"
"(0, 15, 26, 14)","(87.101, 3.482, 7.6)","(24, 26.15, 85.49)",74.34,4574,"(218, 199, 161)","(52, 51, 41)"
"(0, 17, 28, 40)","(75.975, 3.604, 7.218)","(23, 28.76, 60.0)",51.18,4405,"(153, 136, 109)","(23, 22, 17)"
"(0, 11, 19, 28)","(82.858, 2.365, 4.98)","(24, 19.13, 71.76)",64.88,5039,"(183, 171, 148)","(37, 37, 33)"
