NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 14, 26, 41)","(76.309, 2.18, 7.334)","(29, 26.67, 58.82)",51.8,4525,"(150, 146, 110)","(23, 23, 18)"
"(0, 7, 20, 24)","(85.19, 0.378, 6.954)","(37, 20.31, 75.29)",69.98,4958,"(177, 192, 153)","(43, 45, 36)"
"(0, 9, 19, 22)","(85.75, 1.47, 5.836)","(30, 19.19, 77.65)",71.24,5039,"(198, 198, 160)","(45, 46, 39)"
"(0, 13, 26, 17)","(86.654, 2.123, 8.585)","(30, 26.54, 82.75)",73.31,4549,"(211, 211, 155)","(49, 49, 38)"
"(0, 15, 27, 33)","(79.56, 2.863, 7.467)","(26, 27.06, 66.67)",58.07,4501,"(170, 159, 124)","(30, 29, 23)"
"(0, 14, 33, 28)","(81.524, 1.603, 11.301)","(33, 33.52, 71.37)",62.07,4130,"(169, 182, 121)","(34, 34, 22)"
"(0, 14, 28, 29)","(81.458, 2.459, 8.665)","(29, 28.73, 70.98)",61.94,4405,"(181, 177, 129)","(34, 34, 25)"
"(0, 15, 31, 29)","(81.078, 2.371, 9.694)","(30, 31.11, 70.59)",61.15,4266,"(180, 180, 124)","(33, 33, 23)"
"(0, 28, 47, 35)","(74.892, 5.918, 14.191)","(25, 47.56, 64.31)",49.2,3414,"(164, 140, 86)","(23, 21, 11)"
"(0, 18, 35, 24)","(82.098, 3.353, 11.211)","(28, 35.42, 75.29)",63.27,4022,"(192, 184, 124)","(37, 36, 23)"
"(0, 21, 41, 26)","(80.333, 3.899, 13.619)","(28, 41.71, 73.33)",59.63,3694,"(187, 179, 109)","(33, 32, 18)"
"(0, 19, 33, 31)","(79.233, 3.874, 9.635)","(25, 33.71, 68.63)",57.42,4130,"(175, 159, 116)","(30, 29, 20)"
"(0, 9, 17, 45)","(75.432, 1.462, 4.306)","(28, 17.27, 54.51)",50.18,5149,"(139, 135, 115)","(21, 21, 19)"
"(0, 19, 33, 24)","(82.205, 3.984, 9.796)","(25, 33.16, 75.69)",63.5,4153,"(193, 175, 129)","(37, 36, 25)"
"(0, 13, 21, 18)","(86.461, 3.159, 5.547)","(22, 21.05, 81.96)",72.86,4905,"(209, 190, 165)","(49, 49, 42)"
"(0, 17, 30, 17)","(85.57, 3.478, 9.304)","(26, 30.33, 82.75)",70.84,4311,"(211, 196, 147)","(47, 46, 33)"
"(0, 15, 25, 51)","(70.952, 2.72, 6.004)","(24, 25.81, 48.63)",42.39,4599,"(124, 113, 92)","(15, 15, 12)"
"(0, 11, 19, 29)","(82.49, 2.382, 5.019)","(24, 19.34, 70.98)",64.1,5012,"(181, 169, 146)","(36, 36, 32)"
"(0, 10, 18, 29)","(82.398, 1.944, 5.168)","(26, 18.99, 70.2)",63.9,5039,"(179, 171, 145)","(36, 36, 31)"
"(0, 14, 29, 21)","(84.619, 2.366, 9.645)","(30, 29.85, 78.82)",68.71,4335,"(201, 201, 141)","(43, 43, 31)"
"(0, 8, 15, 26)","(84.308, 1.544, 4.254)","(27, 15.51, 73.33)",68.02,5289,"(187, 181, 158)","(41, 42, 38)"
"(0, 23, 43, 45)","(71.633, 3.997, 12.644)","(28, 43.88, 54.51)",43.53,3597,"(139, 129, 78)","(17, 16, 9)"
"(0, 6, 13, 25)","(85.092, 1.11, 3.747)","(29, 13.23, 74.12)",69.76,5461,"(189, 187, 164)","(43, 44, 41)"
"(0, 17, 38, 29)","(80.335, 2.167, 13.242)","(33, 38.89, 70.59)",59.63,3833,"(168, 180, 110)","(32, 32, 19)"
"(0, 14, 25, 39)","(76.996, 2.448, 6.981)","(27, 25.97, 60.39)",53.09,4574,"(154, 146, 114)","(24, 24, 19)"
"(0, 16, 27, 20)","(84.479, 3.585, 7.697)","(24, 27.23, 79.22)",68.4,4501,"(202, 183, 147)","(43, 43, 33)"
"(0, 11, 21, 38)","(78.485, 1.815, 5.855)","(28, 21.52, 61.96)",55.95,4879,"(158, 154, 124)","(26, 27, 22)"
"(0, 11, 20, 25)","(84.114, 2.116, 5.967)","(27, 20.94, 74.9)",67.6,4905,"(191, 183, 151)","(41, 41, 35)"
"(0, 31, 44, 36)","(73.968, 8.141, 11.332)","(18, 44.79, 63.92)",47.55,3541,"(163, 121, 90)","(22, 20, 12)"
"(0, 14, 28, 21)","(84.619, 2.465, 8.76)","(29, 28.0, 78.43)",68.71,4452,"(200, 196, 144)","(43, 43, 32)"
"(0, 16, 28, 15)","(86.579, 3.336, 8.782)","(26, 28.7, 84.71)",73.13,4405,"(216, 201, 154)","(50, 49, 37)"
"(0, 17, 28, 18)","(85.284, 3.934, 8.024)","(23, 28.23, 81.96)",70.19,4452,"(209, 187, 150)","(46, 45, 34)"
"(0, 13, 22, 10)","(89.148, 2.982, 6.326)","(24, 22.03, 89.02)",79.19,4827,"(227, 210, 177)","(59, 59, 49)"
"(0, 9, 14, 31)","(81.974, 1.9, 3.656)","(23, 14.94, 68.24)",63.01,5317,"(174, 164, 148)","(34, 35, 33)"
"(0, 14, 27, 7)","(90.122, 2.651, 9.072)","(29, 27.43, 92.94)",81.56,4501,"(237, 231, 172)","(63, 63, 47)"
"(0, 24, 41, 40)","(73.909, 4.849, 11.56)","(25, 41.45, 59.61)",47.45,3713,"(152, 133, 89)","(20, 19, 12)"
"(0, 17, 35, 5)","(89.649, 3.07, 12.725)","(30, 35.54, 94.9)",80.41,4022,"(242, 242, 156)","(63, 62, 39)"
"(0, 16, 31, 7)","(89.282, 3.13, 10.534)","(28, 31.36, 92.55)",79.52,4266,"(236, 228, 162)","(61, 60, 42)"
"(0, 19, 35, 15)","(85.231, 4.127, 11.479)","(26, 35.81, 84.31)",70.07,4000,"(215, 198, 138)","(47, 45, 29)"
