NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(23, 11, 0, 27)","(81.817, -1.942, -6.573)","(209, 23.37, 72.16)",62.68,11241,"(141, 155, 184)","(33, 35, 50)"
"(26, 13, 0, 38)","(76.555, -1.768, -7.163)","(211, 26.11, 61.57)",52.26,12599,"(116, 129, 157)","(22, 23, 35)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(29, 14, 0, 20)","(83.505, -2.262, -8.82)","(211, 29.06, 79.61)",66.27,14689,"(144, 163, 203)","(37, 40, 62)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(31, 18, 0, 54)","(67.294, -0.943, -8.318)","(215, 31.03, 45.49)",36.6,16432,"(80, 90, 116)","(10, 10, 17)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(36, 17, 0, 52)","(68.139, -2.879, -8.774)","(209, 36.36, 47.45)",37.89,24464,"(77, 92, 121)","(10, 12, 19)"
"(42, 23, 0, 30)","(76.037, -2.366, -13.526)","(213, 42.94, 69.41)",51.3,40000,"(101, 124, 177)","(21, 23, 44)"
"(33, 21, 0, 38)","(73.781, -0.19, -11.068)","(218, 33.97, 61.18)",47.22,19821,"(103, 116, 156)","(18, 18, 33)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 99)","(0.548, 0.0, -0.0)","(0, 0.0, 0.78)",0.78,6507,"(2, 2, 2)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(21, 12, 0, 29)","(80.991, -0.499, -6.751)","(216, 21.11, 70.59)",60.97,10318,"(142, 152, 180)","(31, 33, 48)"
"(22, 12, 0, 47)","(72.436, -0.864, -6.144)","(214, 22.56, 52.16)",44.89,10912,"(103, 112, 133)","(16, 16, 24)"
"(24, 12, 0, 60)","(65.728, -1.304, -5.68)","(211, 24.51, 40.0)",34.27,11780,"(77, 85, 102)","(8, 9, 13)"
"(16, 9, 0, 28)","(82.637, -0.869, -5.053)","(213, 16.94, 71.76)",64.41,9134,"(152, 161, 183)","(34, 37, 49)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(26, 15, 0, 55)","(67.587, -0.968, -6.828)","(214, 26.55, 44.31)",37.04,12825,"(83, 92, 113)","(11, 11, 17)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(27, 14, 0, 54)","(67.989, -1.447, -6.923)","(212, 27.83, 45.1)",37.66,13557,"(83, 93, 115)","(11, 11, 17)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(41, 31, 0, 54)","(63.707, 1.919, -13.76)","(225, 41.38, 45.49)",31.39,40000,"(68, 77, 116)","(8, 8, 17)"
