HCMYK,HLAB,HHSV,HLUM,HTEMP,HRYB,HXYZ
"(0, 15, 28, 50)","(71.12, 2.236, 7.41)","(28, 28.8, 49.02)",42.67,4405,"(125, 121, 89)","(15, 15, 11)"
"(0, 15, 28, 51)","(70.662, 2.379, 7.13)","(27, 28.46, 48.24)",41.92,4429,"(123, 117, 88)","(15, 14, 11)"
"(0, 11, 28, 41)","(76.46, 0.744, 8.926)","(36, 28.38, 58.04)",52.08,4429,"(134, 148, 106)","(23, 23, 16)"
"(0, 13, 25, 46)","(73.886, 2.213, 6.592)","(27, 25.55, 53.73)",47.41,4599,"(137, 131, 102)","(19, 19, 14)"
"(0, 19, 35, 45)","(72.806, 3.182, 9.909)","(28, 35.97, 54.51)",45.52,4000,"(139, 131, 89)","(18, 17, 11)"
"(0, 15, 28, 55)","(68.69, 2.505, 6.638)","(26, 28.07, 44.71)",38.75,4452,"(114, 106, 82)","(12, 12, 9)"
"(0, 17, 36, 60)","(65.128, 1.65, 9.74)","(32, 37.0, 39.22)",33.4,3936,"(94, 100, 63)","(9, 9, 6)"
"(0, 18, 33, 60)","(65.342, 2.832, 7.762)","(26, 33.33, 40.0)",33.71,4130,"(102, 94, 68)","(9, 9, 7)"
"(0, 18, 31, 54)","(68.581, 3.093, 7.318)","(25, 31.03, 45.49)",38.58,4266,"(116, 105, 80)","(12, 12, 9)"
"(0, 22, 37, 69)","(58.487, 3.245, 7.645)","(25, 37.66, 30.2)",24.61,3895,"(77, 68, 48)","(5, 5, 3)"
"(0, 17, 36, 52)","(69.676, 2.036, 10.163)","(31, 36.36, 47.45)",40.32,3979,"(117, 121, 77)","(13, 13, 8)"
"(0, 30, 53, 63)","(60.283, 4.881, 13.095)","(26, 53.26, 36.08)",26.84,3175,"(92, 79, 43)","(6, 6, 2)"
"(0, 21, 34, 56)","(66.712, 4.098, 7.572)","(22, 34.23, 43.53)",35.72,4086,"(111, 95, 73)","(11, 11, 8)"
"(0, 17, 29, 52)","(69.59, 3.143, 6.76)","(24, 29.17, 47.06)",40.18,4382,"(120, 108, 85)","(13, 13, 10)"
"(0, 21, 41, 62)","(63.151, 2.954, 10.282)","(29, 41.67, 37.65)",30.62,3694,"(96, 92, 56)","(8, 7, 4)"
"(0, 23, 38, 44)","(72.264, 4.955, 9.936)","(23, 38.73, 55.69)",44.59,3854,"(142, 120, 87)","(18, 17, 11)"
"(0, 22, 36, 57)","(66.145, 3.889, 8.513)","(24, 36.7, 42.75)",34.88,3957,"(109, 95, 69)","(10, 10, 7)"
"(0, 12, 24, 57)","(68.007, 1.842, 5.616)","(28, 24.07, 42.35)",37.69,4699,"(108, 104, 82)","(11, 11, 9)"
"(0, 17, 28, 42)","(74.871, 3.596, 6.998)","(23, 28.57, 57.65)",49.17,4429,"(147, 130, 105)","(21, 20, 16)"
"(0, 12, 22, 47)","(73.392, 2.152, 5.499)","(26, 22.56, 52.16)",46.54,4801,"(133, 125, 103)","(18, 18, 15)"
"(0, 12, 24, 60)","(66.661, 1.653, 5.717)","(29, 24.51, 40.0)",35.65,4673,"(102, 100, 77)","(10, 10, 8)"
"(0, 10, 19, 38)","(78.428, 1.639, 5.123)","(28, 19.23, 61.18)",55.84,5012,"(156, 152, 126)","(26, 27, 23)"
"(0, 21, 38, 64)","(61.927, 2.934, 8.996)","(27, 38.89, 35.29)",28.97,3833,"(90, 84, 55)","(6, 6, 4)"
"(0, 11, 19, 44)","(75.339, 1.967, 4.86)","(26, 19.86, 55.29)",50.01,4985,"(141, 134, 113)","(21, 21, 19)"
"(0, 20, 42, 61)","(64.161, 2.2, 11.24)","(31, 42.42, 38.82)",32.02,3654,"(95, 99, 57)","(8, 8, 4)"
"(0, 15, 26, 55)","(68.655, 2.397, 6.174)","(26, 26.55, 44.31)",38.7,4549,"(113, 105, 83)","(12, 12, 10)"
"(0, 19, 32, 60)","(64.639, 3.551, 6.74)","(22, 32.0, 39.22)",32.7,4220,"(100, 87, 68)","(9, 8, 6)"
"(0, 14, 27, 54)","(69.117, 2.123, 6.851)","(28, 27.83, 45.1)",39.42,4476,"(115, 111, 83)","(12, 12, 10)"
"(0, 15, 26, 51)","(70.714, 2.735, 6.039)","(24, 26.02, 48.24)",42.0,4574,"(123, 112, 91)","(15, 14, 11)"
"(0, 31, 41, 54)","(65.567, 7.463, 8.191)","(15, 41.38, 45.49)",34.03,3713,"(116, 84, 68)","(10, 9, 6)"
"(0, 18, 32, 63)","(63.031, 2.745, 7.16)","(26, 32.61, 36.08)",30.46,4175,"(92, 84, 62)","(7, 7, 5)"
"(0, 24, 37, 46)","(71.316, 5.074, 9.344)","(22, 37.96, 53.73)",43.0,3895,"(137, 114, 85)","(16, 15, 10)"
"(0, 29, 42, 49)","(68.519, 7.167, 9.43)","(17, 42.31, 50.98)",38.48,3674,"(130, 97, 75)","(13, 12, 8)"
"(0, 25, 41, 40)","(73.75, 5.183, 11.335)","(24, 41.45, 59.61)",47.17,3713,"(152, 130, 89)","(20, 19, 12)"
"(0, 17, 27, 47)","(72.76, 3.353, 6.42)","(23, 27.41, 52.94)",45.44,4501,"(135, 120, 98)","(17, 17, 13)"
"(0, 15, 28, 56)","(68.114, 2.173, 7.028)","(28, 28.83, 43.53)",37.86,4405,"(111, 107, 79)","(11, 11, 9)"
"(0, 19, 32, 62)","(63.743, 3.366, 6.8)","(23, 32.29, 37.65)",31.44,4197,"(96, 84, 65)","(8, 7, 5)"
"(0, 21, 37, 54)","(67.71, 3.605, 9.468)","(26, 37.93, 45.49)",37.23,3895,"(116, 105, 72)","(11, 11, 7)"
"(0, 17, 33, 58)","(66.375, 2.498, 8.371)","(28, 33.96, 41.57)",35.22,4108,"(106, 102, 70)","(10, 10, 7)"
"(0, 23, 37, 59)","(64.813, 4.153, 8.394)","(23, 37.5, 40.78)",32.95,3916,"(104, 89, 65)","(9, 9, 5)"
"(0, 23, 39, 38)","(75.237, 4.818, 10.842)","(24, 39.24, 61.96)",49.83,3813,"(158, 137, 96)","(22, 21, 14)"
"(0, 26, 43, 45)","(70.977, 5.525, 11.304)","(23, 43.17, 54.51)",42.43,3616,"(139, 116, 79)","(16, 15, 9)"
"(0, 19, 30, 61)","(64.044, 3.481, 6.319)","(22, 30.93, 38.04)",31.86,4288,"(97, 84, 67)","(8, 8, 6)"
"(0, 19, 33, 52)","(69.202, 3.497, 8.241)","(25, 33.88, 47.45)",39.56,4108,"(121, 109, 80)","(13, 13, 9)"
"(0, 20, 33, 43)","(73.69, 4.191, 8.557)","(23, 33.79, 56.86)",47.06,4108,"(145, 127, 96)","(19, 18, 13)"
"(0, 23, 39, 48)","(70.228, 4.513, 10.185)","(24, 39.69, 51.37)",41.21,3792,"(131, 114, 79)","(15, 14, 9)"
"(0, 24, 40, 43)","(72.279, 4.939, 10.753)","(24, 40.56, 56.08)",44.62,3753,"(143, 123, 85)","(18, 17, 10)"
"(0, 16, 22, 58)","(67.052, 3.641, 3.822)","(15, 22.43, 41.96)",36.23,4801,"(107, 91, 83)","(11, 10, 10)"
"(0, 30, 52, 70)","(56.146, 4.696, 11.262)","(25, 52.0, 29.41)",21.86,3225,"(75, 63, 36)","(4, 3, 2)"
"(0, 23, 40, 58)","(64.832, 4.134, 9.36)","(24, 40.0, 41.18)",32.98,3773,"(105, 91, 63)","(9, 9, 5)"
