Basename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM
IR000,104.2914,3.4096,0.6471,0.571,0.9836,0.3261
IR002,83.7466,3.5707,0.6377,0.5797,0.9929,0.3361
IR003,154.4463,4.9767,0.6784,0.6477,0.9801,0.4196
IR004,82.5895,3.5267,0.5873,0.5021,0.9937,0.2521
IR005,137.8476,4.3056,0.7125,0.6799,0.9851,0.4622
IR006,132.3264,2.848,0.7227,0.6609,0.9855,0.4368
IR007,118.467,4.6491,0.562,0.4843,0.9766,0.2346
IR008,135.7966,4.7021,0.6091,0.5517,0.9887,0.3044
IR009,114.7993,3.4838,0.7002,0.6603,0.9767,0.436
IR010,159.284,5.6858,0.5353,0.4717,0.9829,0.2225
IR011,141.1524,3.7503,0.6655,0.6066,0.9742,0.368
IR012,103.1617,3.7416,0.5399,0.4439,0.9908,0.197
IR013,249.0179,4.6241,0.7609,0.7305,0.9451,0.5337
IR014,75.8887,2.5491,0.7538,0.7155,0.9802,0.5119
IR015,205.8053,4.847,0.688,0.639,0.9833,0.4083
IR016,48.11,1.4651,0.7603,0.6455,0.9911,0.4167
IR017,112.0755,3.0558,0.6838,0.6227,0.989,0.3878
IR018,145.269,4.6365,0.5965,0.5349,0.9857,0.2861
IR019,69.1089,3.0432,0.6896,0.6284,0.9909,0.3949
IR020,71.9734,3.178,0.679,0.6237,0.9946,0.389
IR021,153.6006,5.2625,0.6309,0.5896,0.9843,0.3476
IR022,173.0503,4.6947,0.6886,0.6481,0.9777,0.42
IR023,126.9222,3.2511,0.6158,0.5047,0.9721,0.2547
IR024,93.4627,1.6252,0.8798,0.8569,0.9816,0.7343
IR025,156.4834,4.0934,0.6382,0.5776,0.9898,0.3336
IR026,78.6914,2.3844,0.7221,0.6619,0.9902,0.4381
IR027,123.8226,4.1989,0.5653,0.4792,0.9869,0.2296
IR028,107.6151,3.2874,0.7223,0.6816,0.9835,0.4646
IR029,179.8251,3.9429,0.6856,0.6367,0.9848,0.4053
IR030,78.3164,3.2708,0.5892,0.4985,0.9947,0.2485
IR031,63.505,2.3515,0.8048,0.7766,0.9934,0.6032
IR032,112.9286,3.4386,0.6962,0.6451,0.9831,0.4161
